ERROR:root:Exception met in <class 'testsuite.optimisers.Mpoi'>, seed 14, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Mpoi'>, seed 17, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Mpoi'>, seed 19, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Mpoi'>, seed 23, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Mpoi'>, seed 28, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 2, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 14, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 1, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 17, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 18, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 26, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 1, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 3, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 4, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 5, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 6, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 7, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 8, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 9, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 10, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 11, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 12, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 13, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 14, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 15, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 16, at step 10.
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 17, at step 10.
