ERROR:root:Exception met in WFG2_lhs_init10seed_1_5fb06354-1ab3-11eb-aa02-40b034171640_results, seed 1, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_SmsEgo_init10_MultiSurrogate_mean_5fb49b5e-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_SmsEgo_init10_MultiSurrogate_ei_5fb0666a-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_1_WFG2_Mpoi_init10_MultiSurrogate_Mpoi_5fa90f5a-1ab3-11eb-aa02-40b034171640, seed 1, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_ParEgo_init10_5fbef8c4-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in WFG2_lhs_init10seed_2_5fc92cae-1ab3-11eb-aa02-40b034171640_results, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_Mpoi_init10_MultiSurrogate_Mpoi_5fc29902-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_Saf_init10_MultiSurrogate_mean_5fbba73c-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_SmsEgo_init10_MultiSurrogate_mean_5fcd4adc-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_Saf_init10_MultiSurrogate_mean_5fd5264e-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_ParEgo_init10_5fd97d16-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_Saf_init10_MultiSurrogate_ei_5fb836a6-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in WFG2_lhs_init10seed_3_5fe372b2-1ab3-11eb-aa02-40b034171640_results, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_ParEgo_init10_5fbef8c4-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in WFG2_lhs_init10seed_2_5fc92cae-1ab3-11eb-aa02-40b034171640_results, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_Mpoi_init10_MultiSurrogate_Mpoi_5fdceab4-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_Saf_init10_MultiSurrogate_ei_5fd0a4ca-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_Mpoi_init10_MultiSurrogate_Mpoi_5fc29902-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_Saf_init10_MultiSurrogate_mean_5fbba73c-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_Saf_init10_MultiSurrogate_mean_5fd5264e-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_SmsEgo_init10_MultiSurrogate_mean_5fcd4adc-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in WFG2_lhs_init10seed_3_5fe372b2-1ab3-11eb-aa02-40b034171640_results, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_ParEgo_init10_5fd97d16-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in WFG2_lhs_init10seed_2_5fc92cae-1ab3-11eb-aa02-40b034171640_results, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_2_WFG2_ParEgo_init10_5fbef8c4-1ab3-11eb-aa02-40b034171640, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in seed_3_WFG2_Mpoi_init10_MultiSurrogate_Mpoi_5fdceab4-1ab3-11eb-aa02-40b034171640, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.SmsEgo'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Mpoi'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.SmsEgo'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Saf'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 2, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.ParEgo'>, seed 3, at step 11. Erorr: 
ERROR:root:Exception met in <class 'testsuite.optimisers.Lhs'>, seed 3, at step 11. Erorr: 
**********

